sentence;Intent;Cause;Effect;Causal association;tokenized;bio_tags
USER Additionally the medicines are being charged at MRP and some of them are costing much higher now for instance insulin injections;;medicines are being charged at MRP;costing much higher;1.0;['USER', 'Additionally', 'the', 'medicines', 'are', 'being', 'charged', 'at', 'MRP', 'and', 'some', 'of', 'them', 'are', 'costing', 'much', 'higher', 'now', 'for', 'instance', 'insulin', 'injections'];['O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O']
"I hear "" I hate being a diabetic "" .";;diabetic;hate;1;"['I', 'hear', '""', 'I', 'hate', 'being', 'a', 'diabetic', '""', '.']";['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'O', 'O']
i got lime for my glucose test , was n't that bad but that shit is so sweet after downing a whole lil bottle i 'm nauseous now :loudly_crying_face: :face_vomiting:;;glucose test;nauseous;1.0;"['i', 'got', 'lime', 'for', 'my', 'glucose', 'test', ',', 'was', ""n't"", 'that', 'bad', 'but', 'that', 'shit', 'is', 'so', 'sweet', 'after', 'downing', 'a', 'whole', 'lil', 'bottle', 'i', ""'m"", 'nauseous', 'now', ':loudly_crying_face:', ':face_vomiting:']";['O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O']
Sounds like Willow 's blood sugar level is real low so I can reduce her insulin shots;;blood sugar level is real low;reduce her insulin shots;1.0;"['Sounds', 'like', 'Willow', ""'s"", 'blood', 'sugar', 'level', 'is', 'real', 'low', 'so', 'I', 'can', 'reduce', 'her', 'insulin', 'shots']";['O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E']
USER I 've always found it too sweet mustvsay , but most sauces are used sparingly now because of the dreaded diabetes;;dreaded diabetes;sauces are used sparingly;1.0;"['USER', 'I', ""'ve"", 'always', 'found', 'it', 'too', 'sweet', 'mustvsay', ',', 'but', 'most', 'sauces', 'are', 'used', 'sparingly', 'now', 'because', 'of', 'the', 'dreaded', 'diabetes']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'I-C']
I have some amazing friendships b / c of my child 's #T1D She also has fabulous friends because of the diabetes connection .;;;friendships;0;"['I', 'have', 'some', 'amazing', 'friendships', 'b', '/', 'c', 'of', 'my', 'child', ""'s"", '#T1D', 'She', 'also', 'has', 'fabulous', 'friends', 'because', 'of', 'the', 'diabetes', 'connection', '.']";['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
She reversed diabetes with lifestyle changes !;;lifestyle changes;reversed diabetes;1;['She', 'reversed', 'diabetes', 'with', 'lifestyle', 'changes', '!'];['O', 'I-E', 'I-E', 'O', 'I-C', 'I-C', 'O']
Received notice that my daughters DIABETIC SUPPLIES are postponed due to the #CanadaPostStrike :pouting_face: She NEEDS them .;;#CanadaPostStrike;DIABETIC SUPPLIES are postponed;1;['Received', 'notice', 'that', 'my', 'daughters', 'DIABETIC', 'SUPPLIES', 'are', 'postponed', 'due', 'to', 'the', '#CanadaPostStrike', ':pouting_face:', 'She', 'NEEDS', 'them', '.'];['O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O']
USER My wife had gestational diabetes for one of my kids and we were shocked by the prices , especially for something people need to survive .;;gestational diabetes;shocked by the prices;1.0;['USER', 'My', 'wife', 'had', 'gestational', 'diabetes', 'for', 'one', 'of', 'my', 'kids', 'and', 'we', 'were', 'shocked', 'by', 'the', 'prices', ',', 'especially', 'for', 'something', 'people', 'need', 'to', 'survive', '.'];['O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
i am type 1 diabetic and i spend way too much money on insulin prices too high .;;type 1 diabetic;money on insulin prices;1;['i', 'am', 'type', '1', 'diabetic', 'and', 'i', 'spend', 'way', 'too', 'much', 'money', 'on', 'insulin', 'prices', 'too', 'high', '.'];['O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O']
